                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9152,                 4.4602,                 1.9741,                      0,                      0,                      0,                      0,                 5.7422,                 6.6068,                 2.5826,                      0,                      0,                      0
                      2,                 4.1787,                 4.4726,                  1.915,                      0,                      0,                      0,                      0,                 5.6869,                 6.8099,                 2.5227,              1.934e-05,              1.934e-05,              1.934e-05
                      3,                 3.8677,                 3.9957,                 2.0986,                      0,                      0,                      0,                      0,                 5.5661,                 7.3233,                 2.4139,              3.736e-05,              3.736e-05,              3.736e-05
                      4,                 4.2115,                 3.8965,                 1.8215,                      0,                      0,                      0,                      0,                 5.4102,                 7.7917,                 2.3104,              5.406e-05,              5.406e-05,              5.406e-05
                      5,                 4.0268,                 3.8092,                 1.9698,                      0,                      0,                      0,                      0,                 5.2535,                 7.8503,                 2.1989,              6.944e-05,              6.944e-05,              6.944e-05
                      6,                 3.8112,                 3.7425,                 1.9011,                      0,                      0,                      0,                      0,                 5.0137,                 7.1439,                  2.066,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                 3.8807,                  3.353,                 1.7468,                0.00678,                0.03509,                0.00374,                0.00057,                 4.6835,                 5.6136,                 1.9325,              9.624e-05,              9.624e-05,              9.624e-05
                      8,                 3.5376,                 2.8408,                 1.6517,                0.11469,                0.02305,                0.01327,                0.00398,                 4.3999,                 4.3275,                 1.7657,             0.00010766,             0.00010766,             0.00010766
                      9,                 3.7681,                 2.5063,                 1.5085,                0.17142,                0.10526,                0.05756,                  0.019,                 4.1058,                 3.3904,                 1.5935,             0.00011776,             0.00011776,             0.00011776
                     10,                 3.6422,                 2.2196,                 1.4802,                 0.2204,                0.21053,                0.13677,                0.04193,                 3.6594,                 3.7231,                 1.4033,             0.00012654,             0.00012654,             0.00012654
                     11,                 3.3752,                 2.3823,                 1.5646,                0.31379,                0.26316,                0.24579,                0.06492,                 3.2182,                 6.0975,                 1.2655,               0.000134,               0.000134,               0.000134
                     12,                 3.1996,                 1.9821,                 1.2913,                0.29458,                0.31579,                0.23617,                0.06829,                 2.8616,                 8.7107,                 1.1608,             0.00014014,             0.00014014,             0.00014014
                     13,                 2.9906,                 2.0887,                 1.3396,                0.21888,                0.39333,                0.20065,                0.05531,                 2.6909,                 9.6478,                 1.1061,             0.00014496,             0.00014496,             0.00014496
                     14,                 2.8902,                 2.2793,                 1.2714,                0.18773,                0.50877,                0.17344,                0.05692,                 2.6513,                 8.5221,                 1.0973,             0.00014846,             0.00014846,             0.00014846
                     15,                 3.0214,                 2.0442,                 1.3402,                0.18735,                0.50877,                0.18923,                0.05837,                 2.5583,                 7.3343,                 1.0771,             0.00015064,             0.00015064,             0.00015064
                     16,                 2.8341,                 1.9542,                 1.2119,                0.26018,                0.61404,                 0.2344,                 0.0725,                 2.5458,                 6.9802,                 1.0748,              0.0001515,              0.0001515,              0.0001515
                     17,                 2.7976,                 2.0915,                 1.2764,                0.24775,                0.63158,                0.25957,                0.08317,                 2.5764,                 6.3926,                 1.0873,             0.00015104,             0.00015104,             0.00015104
                     18,                 2.6799,                 1.7957,                 1.1945,                0.24775,                0.63158,                0.25957,                0.08317,                 2.5764,                 6.3926,                 1.0873,             0.00014926,             0.00014926,             0.00014926
                     19,                 2.6743,                 1.7547,                 1.1604,                0.24791,                0.61404,                0.31965,                0.10377,                 2.5675,                 6.0186,                 1.0897,             0.00014616,             0.00014616,             0.00014616
